,1999,2000,2001,2002
Cashdeposit_ratio,10.29,9.6,7.62,8.08
Creditdeposit_ratio,48.72,49.84,46.78,44.65
Investmentdeposit_ratio,42.17,46.68,50.6,53.65
(Credit_+ investment)deposit_ratio,90.89,96.52,97.38,98.3
Ratio_of_deposits_to_total_liabilities,75.97,75.26,76.93,77.7
Ratio_of_term_deposits_to_total_deposits,61.54,60.53,63.67,63.52
Ratio_of_priority_sector_advances_to_total_advances,28.04,26.38,26.55,26.15
Ratio_of_termloans_to_total_advances,34.76,34.54,34.82,37.31
Ratio_of_secured_advances_to_total_advances,93.85,93.94,87.21,86.78
Ratio_of_investments_in_nonapproved_securities_to_total_investments,18.33,19.48,16.89,15.57
Ratio_of_Interest_income_to_total_assets,9.5,9.17,9.01,8.98
Ratio_of_net_interest_margin_to_total_assets,3.02,2.86,2.86,2.74
Ratio_of_noninterest_income_to_total_assets,1.63,1.47,1.39,1.26
Ratio_of_intermediation_cost_to_total_assets,2.93,2.6,2.88,2.17
Ratio_of_wage_bills_to_intermediation_cost,70.34,71.13,72.44,71.46
Ratio_of_wage_bills_to_total_expenses,21.9,20.76,23.07,18.44
Ratio_of_wage_bills_to_total_income,18.52,17.38,20.02,15.16
Ratio_of_burden_to_total_assets,1.3,1.13,1.48,0.91
Ratio_of_burden_to_interest_income,13.67,12.28,16.46,10.19
Ratio_of_operating_profits_to_total_assets,1.72,1.74,1.37,1.82
Return_on_assets,0.46,0.75,0.5,0.7
Return_on_equity,10.27,18.2,12.53,16.95
Cost_of_deposits,8.13,7.87,7.57,7.62
Cost_of_borrowings,5.53,6.07,5.21,3.63
Cost_of_funds,7.99,7.78,7.47,7.47
Return_on_advances,10.96,10.59,10.53,9.44
Return_on_investments,12.01,11.65,10.46,10.65
Return_on_advances_adjusted_to_cost_of_funds,2.97,2.8,3.06,1.97
Return_on_investment_adjusted_to_cost_of_funds,4.03,3.87,2.99,3.18
Business_per_employee_(in_Rs._lakh),93.64,111.2,136.58,173.01
Profit_per_employee_(in_Rs._lakh),0.43,0.87,0.7,1.16
Capital_adequacy_ratio,12.51,11.49,12.79,13.35
Capital_adequacy_ratio_Tier_I,9.36,8.28,8.58,9.22
Capital_adequacy_ratio_Tier_II,3.15,3.21,4.21,4.13
Ratio_of_net_NPA_to_net_advances,7.18,6.41,6.03,5.63
