,2005,2006,2005.1,2006.1,2005.2,2006.2,2005.3,2006.3
Cashdeposit_ratio,4.58,5.7,4.86,7.52,4.81,6.69,4.1,6.88
Creditdeposit_ratio,55.14,68.84,63.22,73.27,53.92,61.32,65.48,71.28
Investmentdeposit_ratio,53.7,42.77,43.92,36.57,50.33,41.9,42.72,30.68
(Credit_+ Investment)_deposit_ratio,108.83,111.61,107.14,109.84,104.25,103.22,108.2,101.96
Ratio_of_deposits_to_total_liabilities,79.81,76.95,81.26,78.85,82.84,83.74,81.71,80.44
Ratio_of_term_deposits_to_total_deposits,58.72,52.45,56.88,57.94,67.37,65.66,69.17,69.17
Ratio_of_priority_sector_advances_to_total_advances,28.59,30.58,45.16,41.3,39.69,41.68,43.69,42.85
Ratio_of_term_loan_to_total_advances,52.87,53.89,42.91,48.08,54.84,58.14,54.04,55.69
Ratio_of_secured_advances_to_total_advances,77.06,76.74,87.43,88.23,78.54,80.12,89.16,88.61
Ratio_of_investments_in_nonapproved_securites_to_total_investments,11.13,14.98,4.38,4.39,6.97,5.54,4.27,8.53
Ratio_of_interest_income_to_total_assets,7.47,7.51,7.97,7.72,7.09,7.28,7.41,7.03
Ratio_of_net_interest_margin_to_total_assets,3.21,3.28,3.98,3.9,2.94,2.9,3.35,2.88
Ratio_of_noninterest_income_to_total_assets,1.64,1.55,2.21,1.41,1.29,1.56,1.19,1.47
Ratio_of_intermediation_cost_to_total_assets,2.32,2.46,2.85,2.98,2.05,2.16,2.19,2.11
Ratio_of_wage_bills_to_intermediation_cost,68.56,69.28,66.73,65.03,59.22,65.1,59.48,53.94
Ratio_of_wage_bills_to_total_expense,24.19,25.48,27.79,28.52,19.53,21.51,20.87,18.18
Ratio_of_wage_bills_to_total_income,17.47,18.81,18.68,21.25,14.46,15.91,15.16,13.4
Ratio_of_burden_to_total_assets,0.68,0.91,0.64,1.57,0.76,0.6,1.0,0.65
Ratio_of_burden_to_interest_income,9.11,12.11,8.0,20.38,10.72,8.23,13.53,9.18
Ratio_of_operating_profits_to_total_assets,2.53,2.37,3.34,2.33,2.18,2.3,2.35,2.23
Return_on_assets,0.99,0.89,0.88,0.53,0.79,1.13,0.92,0.76
Return_on_equity,19.43,17.04,16.81,10.73,15.03,22.01,15.73,14.48
Cost_of_deposits,5.01,4.78,4.84,4.5,4.9,4.98,4.7,4.61
Cost_of_borrowings,2.51,4.1,3.65,3.58,3.84,5.45,2.02,3.27
Cost_of_borrowings,2.51,4.1,3.65,3.58,3.84,5.45,2.02,3.27
Cost_of_funds,4.9,4.74,4.8,4.46,4.87,4.99,4.54,4.51
Return_on_advances,7.24,7.63,8.72,8.59,8.09,8.15,8.05,8.09
Return_on_investments,8.37,7.77,9.49,8.85,7.82,8.21,8.01,7.76
Return_on_advances_adjusted_to_cost_of_funds,2.34,2.89,3.92,4.12,3.22,3.16,3.51,3.58
Return_on_investments_adjusted_to_cost_of_funds,3.48,3.03,4.68,4.38,2.96,3.22,3.47,3.25
Business_per_employee_(in_Rs._lakh),243.08,299.23,220.29,276.85,339.74,414.34,293.88,429.32
Profit_per_employee_(in_Rs._lakh),2.08,2.17,1.69,1.2,1.91,3.26,2.07,2.09
Capital_adequacy_ratio,12.45,11.88,12.6,12.08,11.74,12.08,11.61,11.4
Capital_adequacy_ratio_Tier_I,8.04,9.36,7.95,8.5,7.58,8.95,6.67,7.55
Capital_adequacy_ratio_Tier_II,4.41,2.52,4.65,3.58,4.16,3.13,4.94,3.85
Ratio_of_net_NPA_to_net_advances,2.65,1.87,1.61,1.18,0.61,0.36,1.0,1.83
