,2001,2002,2003,2004,2005,2006,2001.1,2002.1,2003.1,2004.1,2005.1,2006.1
Allahabad_Bank,8.26,8.08,6.56,4.09,2.84,2.14,4.87,4.68,3.16,1.05,0.6,0.45
Andhra_Bank,2.31,2.5,2.35,2.28,1.35,1.07,1.07,1.13,0.84,0.44,0.15,0.13
Bank_of_Baroda,6.61,6.33,5.45,4.68,3.51,2.11,2.92,2.7,2.22,2.07,0.65,0.46
Bank_of_India,5.76,5.33,4.99,4.4,3.32,2.21,3.59,3.3,3.0,2.43,1.64,0.86
Bank_of_Maharashtra,4.6,4.22,3.84,2.96,2.93,3.02,2.61,2.23,1.84,0.89,0.85,1.07
Canara_Bank,3.23,2.93,3.02,3.15,2.15,1.35,2.02,1.79,1.77,1.39,1.02,0.66
Central_Bank_of_India,6.88,6.42,5.68,4.88,3.82,3.59,3.87,3.23,2.74,2.01,1.19,1.3
Corporation_Bank,2.46,2.49,2.5,2.48,1.91,1.54,0.87,1.07,0.76,0.86,0.61,0.38
Dena_Bank,10.77,10.59,8.02,6.7,4.78,3.58,7.15,6.51,4.95,3.99,2.46,1.63
Indian_Bank,8.86,7.19,4.61,3.04,1.71,1.4,3.57,2.99,2.13,0.98,0.56,0.37
Indian_Overseas_Bank,5.39,5.13,4.61,3.33,2.73,2.07,3.03,2.7,2.22,1.22,0.63,0.38
Oriental_Bank_of_Commerce,2.16,2.95,3.37,2.95,4.61,3.59,1.47,1.41,0.66,0.61,0.28,
Punjab_& Sind_Bank,7.66,7.94,8.6,8.02,7.62,4.94,4.73,4.73,4.41,3.85,3.24,1.16
Punjab_National_Bank,5.45,5.68,5.78,4.56,2.96,2.16,2.95,2.48,1.77,0.44,0.09,0.14
Syndicate_Bank,3.8,4.08,4.12,3.37,2.75,2.47,1.89,2.12,2.03,1.13,0.82,0.51
UCO_Bank,4.67,4.25,3.91,3.38,2.56,2.0,2.38,2.31,2.0,1.72,1.49,1.27
Union_Bank_of_India,5.28,5.46,4.68,4.02,2.84,2.35,3.08,3.02,2.45,1.45,1.46,0.94
United_Bank_of_India,6.57,5.34,3.95,2.96,2.5,2.24,2.8,2.38,1.67,1.16,0.95,0.91
Vijaya_Bank,4.17,3.73,2.65,1.62,1.47,1.71,2.5,2.31,1.08,0.42,0.29,0.45
State_Bank_Group,5.11,4.39,3.48,2.91,2.49,1.92,2.35,2.0,1.58,1.09,1.01,0.88
Nationalised_Banks,5.44,5.21,4.66,3.86,2.96,2.24,2.95,2.69,2.16,1.4,0.91,0.64
State_Bank_of_India,5.03,4.45,3.59,3.11,2.71,2.1,2.17,1.96,1.64,1.33,1.16,0.99
State_Bank_of_Bikaner_& Jaipur,5.15,3.77,3.23,2.4,1.71,1.41,2.95,2.21,1.57,0.53,0.83,0.68
State_Bank_of_Hyderabad,5.84,4.06,2.83,2.26,1.58,1.12,3.01,1.89,1.21,0.25,0.27,0.19
State_Bank_of_Indore,3.95,3.25,2.6,2.04,1.8,1.75,2.46,1.56,1.21,0.54,1.05,
State_Bank_of,6.17,6.03,4.96,3.74,2.51,2.06,3.58,3.49,2.41,1.35,0.49,0.45
State_Bank_of_Mysore,6.17,6.03,4.96,3.74,2.51,2.06,3.58,3.49,2.41,1.35,0.49,0.45
State_Bank_of_Patiala,4.85,3.62,2.51,1.87,2.07,1.31,2.35,1.47,0.75,0.6,0.53,
State_Bank_of_Saurashtra,6.62,4.73,3.09,1.56,1.22,0.95,3.06,2.17,1.43,0.63,0.59,
State_Bank_of_Travancore,5.23,4.41,3.34,2.76,2.26,1.91,3.42,2.58,1.47,0.64,0.93,0.87
Other_Public_Sector_Banks_IDBI_Ltd.,1.49,1.26,1.04,0.64,,,,,,,,
Public_Sector_Banks,5.31,4.89,4.21,3.5,2.73,2.09,2.72,2.42,1.93,1.28,0.95,0.72
