,CIDR,BPE,CAR,CAR-T1,CAR-T2,CADR,COB,COD,COF,CRDR,IDR,PPE,BII-RATIO,BTA-RATIO,DTL-RATIO,IITA-RATIO,ICTA-RATIO,INASTI-RATIO,NIMTA-RATIO,NNNA-RATIO,NIITA-RATIO,OPTA-RATIO,PSATA-RATIO,SATA-RATIO,TDTD-RATIO,TLTA-RATIO,WBIC-RATIO,WBTE-RATIO,WBTI-RATIO,ROAD,ROAADJCOF,ROA,ROE,ROIADJCF,ROI,GNPASTA,NNPASTA
CIDR,1.0,0.8015756786541497,0.2571356592439354,-0.12179208454630365,0.3509884717000664,-0.5107442951205889,-0.2621136823616274,-0.928681417392678,-0.9235195246705606,0.774607728598189,-0.30876340466784297,0.7908769006635848,-0.4957492994729551,-0.7063986368225351,0.15435277336369668,-0.9636598401428517,-0.7312478825741933,-0.022470578424387974,-0.06662869932434426,-0.9841550705499614,0.022713840875907637,0.6793280772797464,0.504139636979763,-0.9416913237012245,-0.777672283297863,0.9532845577253051,-0.6688550263357559,0.01788899387923861,-0.37837541188055784,-0.7473794024778853,0.2915856827931531,0.8800615300747623,0.5471613763902692,-0.6889134207056133,-0.9618209439347235,-0.9801451711147685,-0.9897658595111524
BPE,0.8015756786541497,1.0,0.4972292065200815,0.23944634853524177,0.35297579805696316,-0.08275267275099343,0.14599787954792784,-0.6670493801294858,-0.6507006105129741,0.875279414897534,-0.6287048840954849,0.9860840464048234,-0.5167447142862651,-0.6500612952853402,-0.16438652547408855,-0.7638820801079355,-0.8002504576386348,0.31501268866035215,-0.453682467994574,-0.856724581105792,-0.20351784908641296,0.36370792898163296,0.30453877009233504,-0.7979742930897155,-0.6450916994969614,0.7806589050088154,-0.9298470756877241,-0.4146852435952853,-0.6603409797980572,-0.272873886852415,0.6403369808762092,0.7450911247241033,0.22669910568979576,-0.9272405473396876,-0.9009698132744007,-0.8714098022785075,-0.8184046210336687
CAR,0.2571356592439354,0.4972292065200815,1.0,0.3698092035007836,0.7750230703924799,-0.10550648458459964,-0.24293158144971705,-0.0018721250724923462,-0.006473194668496455,0.086476277982639,0.09188636511140796,0.5384289542471189,-0.7134626039359634,-0.6393456279369744,0.16813840086982593,-0.15978518607468192,-0.6151454432559297,-0.015306195690650927,-0.7264151455385446,-0.2474037374923223,0.10176666500708403,0.16668141165494546,-0.4623036550410199,-0.24021013647979947,0.19517541503596061,0.14251858336704284,-0.4458367689088274,-0.6965293710472767,-0.7405214732630699,-0.023343655267318405,-0.02678909114228713,0.35294225677662355,0.16373320869739516,-0.6700295274424903,-0.34266208607780396,-0.3661342553332037,-0.29291687176208986
CAR-T1,-0.12179208454630365,0.23944634853524177,0.3698092035007836,1.0,-0.3003960803324229,0.34727180658733137,0.3331710864189214,0.23709381130796575,0.24962557929107768,0.10893621090392076,-0.26443229177526983,0.23078513353051502,-0.15020676354702792,-0.05100873149547796,-0.33882815964310253,0.23556795838005537,-0.12840888136686027,0.2675112429202492,-0.20885152243435204,0.059112864614273224,-0.1282433699101278,-0.09070397479550214,-0.07499647088950602,0.05487809811717361,0.05777006074111027,-0.08028459543059631,-0.24406943762468614,-0.4491744536079233,-0.3746752226789568,0.3409634640468033,0.16075501993051888,-0.106877074540329,-0.3371282629755797,-0.2533902305224057,0.03798231928948576,0.009248805520057576,0.08826622918702219
CAR-T2,0.3509884717000664,0.35297579805696316,0.7750230703924799,-0.3003960803324229,1.0,-0.34369307703589497,-0.47415355367151957,-0.1682377439673143,-0.18138526350873155,0.022699778557038922,0.26565239549306446,0.39936117183139885,-0.6274623150230046,-0.6211668095125223,0.40036509356449695,-0.32958313116353727,-0.5474456055031279,-0.19300199158119757,-0.6062884667957671,-0.29941731868328914,0.18511405454801813,0.2305439451786423,-0.41703098732436683,-0.28879233395762927,0.1537014459187912,0.20555194857003517,-0.29588334908804165,-0.4095944049815686,-0.5057591688207838,-0.25665258938218033,-0.12973362144325343,0.43520355190256155,0.3932631266967715,-0.5209472029090638,-0.38365088882696935,-0.3873203701289609,-0.36555913652971633
CADR,-0.5107442951205889,-0.08275267275099343,-0.10550648458459964,0.34727180658733137,-0.34369307703589497,1.0,0.8430033116304465,0.5159110569372629,0.5453444365822667,0.04077485405724528,-0.49729339351116486,-0.10251433601743191,0.32282966538947216,0.4391674889203774,-0.8603267878076659,0.49860590137521454,0.26090484974748535,0.7874117446784943,-0.31438358910683173,0.4436792506707307,-0.3568031358927015,-0.6508491989062225,-0.08283388103939714,0.3975637728686482,0.07521134582735244,-0.4103876526743258,-0.17572182971205622,-0.39586158181205117,-0.08736665832362421,0.8133032971874191,0.4642551893725963,-0.45673844251997436,-0.593987573205984,0.06265830829373088,0.394218328034994,0.47735709136499765,0.5256986263960846
COB,-0.2621136823616274,0.14599787954792784,-0.24293158144971705,0.3331710864189214,-0.47415355367151957,0.8430033116304465,1.0,0.27158929506572244,0.31118472944431574,0.3279413601877992,-0.7160080181148144,0.10060239208041101,0.44915660919388506,0.4835573463090003,-0.8922858200811201,0.2790065655240672,0.1875824749747959,0.8671128927917824,-0.22191772848101135,0.18603995563931308,-0.5669843026078644,-0.6362356892815042,0.1229727662257833,0.13260403955526193,-0.16424032092271276,-0.17702565235041998,-0.3256163600000206,-0.29304806292375407,-0.037880152661106406,0.7379087459900348,0.7332685955473897,-0.31350647058898146,-0.5784161320507671,-0.13882095598996957,0.1368132951058999,0.23639240958477617,0.2925967803915534
COD,-0.928681417392678,-0.6670493801294858,-0.0018721250724923462,0.23709381130796575,-0.1682377439673143,0.5159110569372629,0.27158929506572244,1.0,0.9989596900024094,-0.758173686004936,0.34593576323644576,-0.6343399072380941,0.2669934332989597,0.5154827217100435,-0.2157434690543289,0.9784823261680179,0.5086387559863171,0.12266108632030762,-0.2285327207193864,0.9450056653041831,-0.0582088591449814,-0.6793588150214713,-0.7371692419099293,0.9249200314534239,0.8459051480884382,-0.9683387054405967,0.5543957854883849,-0.3189674100261189,0.09359547959742047,0.8086741531517898,-0.3149539958177308,-0.7408379470087963,-0.4001263677633823,0.4678155742459808,0.9006678178046434,0.9025779523837046,0.9397997332986552
COF,-0.9235195246705606,-0.6507006105129741,-0.006473194668496455,0.24962557929107768,-0.18138526350873155,0.5453444365822667,0.31118472944431574,0.9989596900024094,1.0,-0.7338212059507322,0.3138089524901092,-0.620014579470852,0.2782109632168485,0.5252911405355416,-0.2550406088130514,0.9774058427733698,0.5038001425646466,0.16449350307600508,-0.24090815122226786,0.9387902540852907,-0.08485180294939243,-0.6972789405818247,-0.7257523000288726,0.9144720279127124,0.826832077390501,-0.9615304288348953,0.5309135497382639,-0.33426064196281563,0.08388849172940975,0.8283498838272837,-0.28306217520165083,-0.7403162994777304,-0.4139734201769634,0.4510051975004523,0.8928815123002601,0.8979322431234089,0.9374074610256636
CRDR,0.774607728598189,0.875279414897534,0.086476277982639,0.10893621090392076,0.022699778557038922,0.04077485405724528,0.3279413601877992,-0.758173686004936,-0.7338212059507322,1.0,-0.8406985920835116,0.8124655412460267,-0.15907369531424034,-0.35970580659704915,-0.37163800139562003,-0.7853897514353488,-0.5583829279176311,0.48886132671272475,-0.17839648268170907,-0.8424096866220606,-0.3150541889400543,0.2529552490540541,0.6617047834158962,-0.8058436951962088,-0.90192512520323,0.8242068112279897,-0.8533850705238287,-0.11263266573346778,-0.34071066201694,-0.2644399830108116,0.795620470603559,0.5858091886108666,0.03738762311544097,-0.7374287291520146,-0.8603985711328997,-0.7999374336581445,-0.7733366149299945
